Para observar la letra correctamente asegurese de indicar el indice correspondiente. 

      CANCIÓN                          INDICE  
1. A Dios le pido                        14

2. Como Camarón                          15

3. Cuando sea grande                     1

4. Dame amor                             16

5. El muelle de San Blás                 2

6. En algún lugar                        3     

7. Don't cry                             23

8. Maldito Duende                        4

9. Hey Jude                              22

10. La camisa negra                      5

11. La gasolina                          21  

12. La playa                             17 

13. Laura no esta                        6

14. Me gustas tú                         7

15. Me muero                             8      

16. Mírame                               0

17. Nada valgo sin tu amor               9

18. París                                18

19. Rayando el sol                       10

20. Rosas                                11   

21. Tu peor error                        12

22. Vino tinto                           13    

23. Vivo por ella                        19

24. Yesterday                            20    
